JobID|JobName|Partition|State|Elapsed|Start|End|AllocCPUS|ReqMem
23246814_0.extern|extern||COMPLETED|00:00:14|2026-01-24T11:29:11|2026-01-24T11:29:25|32|
23247350_0|shell.sh|amilan|COMPLETED|00:01:42|2026-01-24T11:44:29|2026-01-24T11:46:11|32|100G
23247350_0.batch|batch||COMPLETED|00:01:42|2026-01-24T11:44:29|2026-01-24T11:46:11|32|
23247350_0.extern|extern||COMPLETED|00:01:42|2026-01-24T11:44:29|2026-01-24T11:46:11|32|
23247475_0|shell.sh|amilan|TIMEOUT|01:00:29|2026-01-24T11:48:03|2026-01-24T12:48:32|32|100G
23247475_0.batch|batch||CANCELLED|01:00:30|2026-01-24T11:48:03|2026-01-24T12:48:33|32|
23247475_0.extern|extern||COMPLETED|01:00:30|2026-01-24T11:48:03|2026-01-24T12:48:33|32|
23248446_[0]|shell.sh|amilan|CANCELLED by 1098135|00:00:00|None|2026-01-24T12:23:52|0|100G
23248570_0|shell.sh|amilan|TIMEOUT|2-00:00:28|2026-01-25T03:47:35|2026-01-27T03:48:03|32|100G
23248570_0.batch|batch||CANCELLED|2-00:00:31|2026-01-25T03:47:35|2026-01-27T03:48:06|32|
23248570_0.extern|extern||COMPLETED|2-00:00:31|2026-01-25T03:47:35|2026-01-27T03:48:06|32|
23301229|sys/dashboard/sys/vs_code_server|ahub|TIMEOUT|12:00:12|2026-01-26T10:47:56|2026-01-26T22:48:08|1|3840M
23301229.batch|batch||CANCELLED|12:00:13|2026-01-26T10:47:56|2026-01-26T22:48:09|1|
23301229.extern|extern||COMPLETED|12:00:15|2026-01-26T10:47:56|2026-01-26T22:48:11|1|
23316362_0|shell100.sh|amilan|TIMEOUT|1-00:00:17|2026-01-26T16:45:59|2026-01-27T16:46:16|27|100G
23316362_0.batch|batch||CANCELLED|1-00:00:20|2026-01-26T16:45:59|2026-01-27T16:46:19|27|
23316362_0.extern|extern||COMPLETED|1-00:00:20|2026-01-26T16:45:59|2026-01-27T16:46:19|27|
